cancer,asia,canada,europe,latin_america,middle_east,oceania,other,usa
Breast Cancer,18.7,1.0,18.7,3.7,1.7,0.0,22.1,34.1
Leukemia,6.3,0.3,31.0,1.3,0.3,0.7,15.7,44.3
Lung Cancer,35.7,1.7,28.0,1.0,0.7,0.3,6.3,26.3
Pancreatic Cancer,26.0,1.0,19.3,2.3,1.0,0.3,23.7,26.3
Prostate Cancer,10.0,6.7,29.3,1.0,0.0,2.7,15.3,35.0
